BASILIO*PUJOL GOMIS*PUJOL*GOMIS*bpujolgom*12345685-H*Direccion*12345685-HI3sJ4uMe1*bpujolgom@iesjaumei.edu-gva.mylocal*Win-11-01*OU=Dep-Direccion,OU=Usuarios*/bin/bash*/home/bpujolgom
MIRIAM*JUAN VALENCIA*JUAN*VALENCIA*mjuanval*12345686-I*Direccion*12345686-II3sJ4uMe1*mjuanval@iesjaumei.edu-gva.mylocal*Win-11-02*OU=Dep-Direccion,OU=Usuarios*/bin/bash*/home/mjuanval
IGNACIO*CHAVES VARGAS*CHAVES*VARGAS*ichavesvar*12345687-J*Direccion*12345687-JI3sJ4uMe1*ichavesvar@iesjaumei.edu-gva.mylocal*Win-11-03*OU=Dep-Direccion,OU=Usuarios*/bin/bash*/home/ichavesvar
LAURA*ALBA ARIAS*ALBA*ARIAS*lalbaari*12345688-K*Direccion*12345688-KI3sJ4uMe1*lalbaari@iesjaumei.edu-gva.mylocal*Win-11-04*OU=Dep-Direccion,OU=Usuarios*/bin/bash*/home/lalbaari
JORGE*CARVALHO PELLICER*CARVALHO*PELLICER*jcarvalhopel*12345689-L*Direccion*12345689-LI3sJ4uMe1*jcarvalhopel@iesjaumei.edu-gva.mylocal*Win-11-05*OU=Dep-Direccion,OU=Usuarios*/bin/bash*/home/jcarvalhopel
ANTONIO*CAMPOS GALLEGO*CAMPOS*GALLEGO*acamposgal*12345690-M*Direccion*12345690-MI3sJ4uMe1*acamposgal@iesjaumei.edu-gva.mylocal*Win-11-06*OU=Dep-Direccion,OU=Usuarios*/bin/bash*/home/acamposgal
CLAUDIO*MONCHO AGUILAR*MONCHO*AGUILAR*cmonchoagu*12345691-N*Direccion*12345691-NI3sJ4uMe1*cmonchoagu@iesjaumei.edu-gva.mylocal*Win-11-07*OU=Dep-Direccion,OU=Usuarios*/bin/bash*/home/cmonchoagu
PEPE*CHAVES CAMPOS*CHAVES*CAMPOS*pchavescam*12345692-O*Direccion*12345692-OI3sJ4uMe1*pchavescam@iesjaumei.edu-gva.mylocal*Win-11-08*OU=Dep-Direccion,OU=Usuarios*/bin/bash*/home/pchavescam
SARA*ALBA MONCHO*ALBA*MONCHO*salbamon*12345693-P*Direccion*12345693-PI3sJ4uMe1*salbamon@iesjaumei.edu-gva.mylocal*Win-11-09*OU=Dep-Direccion,OU=Usuarios*/bin/bash*/home/salbamon
ISABEL*CARVALHO ALABAU*CARVALHO*ALABAU*icarvalhoala*12345694-Q*Direccion*12345694-QI3sJ4uMe1*icarvalhoala@iesjaumei.edu-gva.mylocal*Win-11-10*OU=Dep-Direccion,OU=Usuarios*/bin/bash*/home/icarvalhoala
FRANCISCO*CAMPOS GOMIS*CAMPOS*GOMIS*fcamposgom*12345695-R*Informatica*12345695-RI3sJ4uMe1*fcamposgom@iesjaumei.edu-gva.mylocal*Ubuntu-01*OU=Dep-Informatica,OU=Usuarios*/bin/bash*/home/fcamposgom
BASILIO*MONCHO COELLO*MONCHO*COELLO*bmonchocoe*12345696-S*Informatica*12345696-SI3sJ4uMe1*bmonchocoe@iesjaumei.edu-gva.mylocal*Ubuntu-02*OU=Dep-Informatica,OU=Usuarios*/bin/bash*/home/bmonchocoe
MIRIAM*JUAN PUJOL*JUAN*PUJOL*mjuanpuj*12345697-T*Informatica*12345697-TI3sJ4uMe1*mjuanpuj@iesjaumei.edu-gva.mylocal*Ubuntu-03*OU=Dep-Informatica,OU=Usuarios*/bin/bash*/home/mjuanpuj
IGNACIO*CHAVES JUAN*CHAVES*JUAN*ichavesjua*12345698-U*Informatica*12345698-UI3sJ4uMe1*ichavesjua@iesjaumei.edu-gva.mylocal*Ubuntu-04*OU=Dep-Informatica,OU=Usuarios*/bin/bash*/home/ichavesjua
LAURA*ALBA ALABAU*ALBA*ALABAU*lalbaala*12345699-V*Informatica*12345699-VI3sJ4uMe1*lalbaala@iesjaumei.edu-gva.mylocal*Ubuntu-05*OU=Dep-Informatica,OU=Usuarios*/bin/bash*/home/lalbaala
JORGE*CARVALHO GOMIS*CARVALHO*GOMIS*jcarvalhogom*12345700-W*Bachillerato*12345700-WI3sJ4uMe1*jcarvalhogom@iesjaumei.edu-gva.mylocal*Win-10-01*OU=Dep-Bachillerato,OU=Usuarios*/bin/bash*/home/jcarvalhogom
ANTONIO*ALABAU VALENCIA*ALABAU*VALENCIA*aalabauval*12345701-X*Bachillerato*12345701-XI3sJ4uMe1*aalabauval@iesjaumei.edu-gva.mylocal*Win-10-02*OU=Dep-Bachillerato,OU=Usuarios*/bin/bash*/home/aalabauval
CLAUDIO*GOMIS CAMPOS*GOMIS*CAMPOS*cgomiscam*12345702-Y*Bachillerato*12345702-YI3sJ4uMe1*cgomiscam@iesjaumei.edu-gva.mylocal*Win-10-03*OU=Dep-Bachillerato,OU=Usuarios*/bin/bash*/home/cgomiscam
SUSANA*VALENCIA MONCHO*VALENCIA*MONCHO*svalenciamon*12345703-Z*Bachillerato*12345703-ZI3sJ4uMe1*svalenciamon@iesjaumei.edu-gva.mylocal*Win-10-04*OU=Dep-Bachillerato,OU=Usuarios*/bin/bash*/home/svalenciamon
PEDRO*CHAVES ALABAU*CHAVES*ALABAU*pchavesala*12345704-A*Bachillerato*12345704-AI3sJ4uMe1*pchavesala@iesjaumei.edu-gva.mylocal*Win-10-05*OU=Dep-Bachillerato,OU=Usuarios*/bin/bash*/home/pchavesala
PIEDAD*ALBA GOMIS*ALBA*GOMIS*palbagom*12345705-B*Bachillerato*12345705-BI3sJ4uMe1*palbagom@iesjaumei.edu-gva.mylocal*Win-10-06*OU=Dep-Bachillerato,OU=Usuarios*/bin/bash*/home/palbagom
MANUEL*CARVALHO VALENCIA*CARVALHO*VALENCIA*mcarvalhoval*12345706-C*Bachillerato*12345706-CI3sJ4uMe1*mcarvalhoval@iesjaumei.edu-gva.mylocal*Win-10-07*OU=Dep-Bachillerato,OU=Usuarios*/bin/bash*/home/mcarvalhoval
JAVIER*CAMPOS VARGAS*CAMPOS*VARGAS*jcamposvar*12345707-D*Bachillerato*12345707-DI3sJ4uMe1*jcamposvar@iesjaumei.edu-gva.mylocal*Win-10-08*OU=Dep-Bachillerato,OU=Usuarios*/bin/bash*/home/jcamposvar
